Ch;Frequency;Dup;Offset;TS;Mode;Name;SKIP;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign
0;172,875000;DUP-;4,600000;25kHz;FM;A22 RPT1;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;173,581250;DUP-;4,600000;25kHz;FM;Elisoccorso VR;OFF;TONE;114,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;162,450000;DUP-;4,600000;25kHz;FM;Elisoccorso BZ 1;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;163,362500;DUP-;4,600000;25kHz;FM;Elisoccorso BZ 2;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;163,450000;DUP-;4,600000;25kHz;FM;Ambulanze BZ;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;173,506250;DUP-;4,600000;25kHz;FM;Elisoccorso TV;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;;;;;;;;;;;;;;;;;
0;446,093750;OFF;7,600000;25kHz;FM;ReteRadioMontana;OFF;TONE;114,8Hz;114,8Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;;;;;;;;;;;;;;;;;
0;426,275000;OFF;7,600000;25kHz;FM;Carabinieri 1;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
